user_code,denial_code,description,suggested_action
PR,96,Charges not covered when patient is not the subscriber or dependent,Verify member's eligibility or ID with the plan
CO,45,Charge exceeds fee schedule/maximum allowable amount,Check payer fee schedule or submit an appeal with documentation
PI,204,Service/equipment/drug not covered under the patient's plan,Confirm benefit exclusions or provide alternate coverage
OA,18,Duplicate claim/service,Ensure claim has not already been submitted
CR,22,Care may be covered by another payer per coordination of benefits,Check other insurance coverage and coordinate benefits
PR,97,Patient not eligible for benefits on date of service,Verify patient eligibility and effective dates
CO,46,Service not covered under patient's current plan,Review plan benefits and coverage limitations
PI,205,Prior authorization required but not obtained,Obtain prior authorization before rendering service
OA,19,Service already adjudicated,Check claim history for previous payments
CR,23,Patient has other primary insurance,Verify primary insurance and submit to correct payer
PR,98,Patient coverage terminated before date of service,Verify coverage termination date and patient status
CO,47,Service exceeds frequency limitations,Review frequency limits and submit documentation if medically necessary
PI,206,Experimental or investigational service,Provide medical necessity documentation or consider alternative treatment
OA,20,Claim submitted after timely filing deadline,Submit appeal with documentation of extenuating circumstances
CR,24,Medicare primary - submit to Medicare first,Submit claim to Medicare before secondary insurance
PR,99,Patient ID number invalid or inactive,Verify correct patient ID and update system records
CO,48,Service not medically necessary,Submit medical records and physician documentation
PI,207,Service performed by non-participating provider,Refer patient to participating provider or obtain authorization
OA,21,Incomplete claim information,Complete all required fields and resubmit claim
CR,25,Workers compensation claim,Submit to workers compensation carrier instead
PR,100,Patient not enrolled in plan,Verify enrollment status and effective dates
CO,49,Service exceeds benefit maximum,Review annual or lifetime benefit limits
PI,208,Service requires referral from PCP,Obtain referral from primary care physician
OA,22,Invalid diagnosis code,Update diagnosis code to current ICD-10 standards
CR,26,Medicaid primary - submit to Medicaid first,Submit claim to Medicaid before other insurance
PR,101,Patient coverage suspended,Verify reason for suspension and resolution steps
CO,50,Service not covered for patient's age group,Review age-specific coverage limitations
PI,209,Service requires precertification,Obtain precertification before service delivery
OA,23,Invalid procedure code,Update procedure code to current CPT standards
CR,27,TRICARE primary - submit to TRICARE first,Submit claim to TRICARE before other insurance
PR,102,Patient deceased,Verify date of death and coverage termination
CO,51,Service exceeds daily maximum,Review daily benefit limits and submit documentation
PI,210,Service performed outside network,Refer to in-network provider or obtain authorization
OA,24,Missing required attachments,Include all required documentation with claim
CR,28,VA benefits primary - submit to VA first,Submit claim to Veterans Administration
PR,103,Patient coverage pending,Wait for coverage activation or verify effective date
CO,52,Service exceeds visit maximum,Review visit frequency limits per benefit period
PI,211,Service requires step therapy,Complete required step therapy protocol first
OA,25,Invalid provider ID,Verify provider enrollment and NPI number
CR,29,Group health plan primary,Submit to group health plan before other coverage
PR,104,Patient coverage retroactively terminated,Verify retroactive termination and appeal if necessary
CO,53,Service exceeds unit maximum,Review unit limits and submit medical necessity
PI,212,Service requires formulary exception,Submit formulary exception request with documentation
OA,26,Invalid place of service code,Update place of service code to current standards
CR,30,COBRA coverage primary,Submit to COBRA administrator first
PR,105,Patient coverage under appeal,Wait for appeal decision or verify current status
CO,54,Service exceeds time limit,Review time limitations and submit documentation
PI,213,Service requires clinical trial participation,Enroll patient in approved clinical trial
OA,27,Invalid modifier code,Update modifier codes to current standards
CR,31,Medicare Advantage plan primary,Submit to Medicare Advantage plan first
PR,106,Patient coverage under review,Wait for review completion or provide additional information
CO,55,Service exceeds geographic limitation,Review geographic coverage area restrictions
PI,214,Service requires genetic testing,Complete required genetic testing first
OA,28,Invalid revenue code,Update revenue codes to current standards
CR,32,Medicare Supplement plan primary,Submit to Medicare Supplement plan first
PR,107,Patient coverage under investigation,Wait for investigation completion or provide documentation
CO,56,Service exceeds provider limitation,Review provider-specific coverage restrictions
PI,215,Service requires biomarker testing,Complete required biomarker testing first
OA,29,Invalid admission source code,Update admission source codes to current standards
CR,33,Medicare Part D plan primary,Submit to Medicare Part D plan first
PR,108,Patient coverage under audit,Wait for audit completion or provide supporting documentation
CO,57,Service exceeds facility limitation,Review facility-specific coverage restrictions
PI,216,Service requires companion diagnostic,Complete required companion diagnostic testing
OA,30,Invalid discharge status code,Update discharge status codes to current standards
CR,34,Medicare Part C plan primary,Submit to Medicare Part C plan first
PR,109,Patient coverage under compliance review,Wait for compliance review or provide documentation
CO,58,Service exceeds equipment limitation,Review equipment-specific coverage restrictions
PI,217,Service requires molecular testing,Complete required molecular testing first
OA,31,Invalid condition code,Update condition codes to current standards
CR,35,Medicare Part B plan primary,Submit to Medicare Part B plan first
PR,110,Patient coverage under quality review,Wait for quality review or provide clinical documentation
CO,59,Service exceeds supply limitation,Review supply-specific coverage restrictions
PI,218,Service requires pharmacogenomic testing,Complete required pharmacogenomic testing first
OA,32,Invalid occurrence code,Update occurrence codes to current standards
CR,36,Medicare Part A plan primary,Submit to Medicare Part A plan first
PR,111,Patient coverage under utilization review,Wait for utilization review or provide medical necessity
CO,60,Service exceeds therapy limitation,Review therapy-specific coverage restrictions
PI,219,Service requires liquid biopsy,Complete required liquid biopsy testing first
OA,33,Invalid value code,Update value codes to current standards
CR,37,Medicare Original plan primary,Submit to Medicare Original plan first
PR,112,Patient coverage under case management,Contact case manager for authorization
CO,61,Service exceeds rehabilitation limitation,Review rehabilitation-specific coverage restrictions
PI,220,Service requires tissue biopsy,Complete required tissue biopsy testing first
OA,34,Invalid code qualifier,Update code qualifiers to current standards
CR,38,Medicare Managed Care plan primary,Submit to Medicare Managed Care plan first
PR,113,Patient coverage under disease management,Contact disease management program
CO,62,Service exceeds home health limitation,Review home health-specific coverage restrictions
PI,221,Service requires imaging study,Complete required imaging study first
OA,35,Invalid code table,Update code tables to current standards
CR,39,Medicare Fee-for-Service plan primary,Submit to Medicare Fee-for-Service plan first
PR,114,Patient coverage under wellness program,Contact wellness program coordinator
CO,63,Service exceeds hospice limitation,Review hospice-specific coverage restrictions
PI,222,Service requires laboratory test,Complete required laboratory test first
OA,36,Invalid code version,Update code versions to current standards
CR,40,Medicare PPO plan primary,Submit to Medicare PPO plan first
PR,115,Patient coverage under care coordination,Contact care coordinator for authorization
CO,64,Service exceeds skilled nursing limitation,Review skilled nursing-specific coverage restrictions
PI,223,Service requires pathology report,Complete required pathology report first
OA,37,Invalid code format,Update code formats to current standards
CR,41,Medicare HMO plan primary,Submit to Medicare HMO plan first
PR,116,Patient coverage under medication therapy management,Contact medication therapy management program
CO,65,Service exceeds assisted living limitation,Review assisted living-specific coverage restrictions
PI,224,Service requires radiology report,Complete required radiology report first
OA,38,Invalid code length,Update code lengths to current standards
CR,42,Medicare POS plan primary,Submit to Medicare POS plan first
PR,117,Patient coverage under chronic care management,Contact chronic care management program
CO,66,Service exceeds adult day care limitation,Review adult day care-specific coverage restrictions
PI,225,Service requires cardiology report,Complete required cardiology report first
OA,39,Invalid code structure,Update code structures to current standards
CR,43,Medicare EPO plan primary,Submit to Medicare EPO plan first
PR,118,Patient coverage under transitional care management,Contact transitional care management program
CO,67,Service exceeds respite care limitation,Review respite care-specific coverage restrictions
PI,226,Service requires neurology report,Complete required neurology report first
OA,40,Invalid code syntax,Update code syntax to current standards
CR,44,Medicare SNP plan primary,Submit to Medicare SNP plan first
PR,119,Patient coverage under behavioral health management,Contact behavioral health management program
CO,68,Service exceeds palliative care limitation,Review palliative care-specific coverage restrictions
PI,227,Service requires oncology report,Complete required oncology report first
OA,41,Invalid code semantics,Update code semantics to current standards
CR,45,Medicare PFFS plan primary,Submit to Medicare PFFS plan first
PR,120,Patient coverage under substance abuse management,Contact substance abuse management program
CO,69,Service exceeds end-of-life care limitation,Review end-of-life care-specific coverage restrictions
PI,228,Service requires psychiatry report,Complete required psychiatry report first
OA,42,Invalid code validation,Update code validation to current standards
CR,46,Medicare MSA plan primary,Submit to Medicare MSA plan first
PR,121,Patient coverage under diabetes management,Contact diabetes management program
CO,70,Service exceeds wound care limitation,Review wound care-specific coverage restrictions
PI,229,Service requires dermatology report,Complete required dermatology report first
OA,43,Invalid code mapping,Update code mapping to current standards
CR,47,Medicare Cost plan primary,Submit to Medicare Cost plan first
PR,122,Patient coverage under hypertension management,Contact hypertension management program
CO,71,Service exceeds physical therapy limitation,Review physical therapy-specific coverage restrictions
PI,230,Service requires ophthalmology report,Complete required ophthalmology report first
OA,44,Invalid code translation,Update code translation to current standards
CR,48,Medicare Demo plan primary,Submit to Medicare Demo plan first
PR,123,Patient coverage under asthma management,Contact asthma management program
CO,72,Service exceeds occupational therapy limitation,Review occupational therapy-specific coverage restrictions
PI,231,Service requires orthopedics report,Complete required orthopedics report first
OA,45,Invalid code conversion,Update code conversion to current standards
CR,49,Medicare Innovation plan primary,Submit to Medicare Innovation plan first
PR,124,Patient coverage under COPD management,Contact COPD management program
CO,73,Service exceeds speech therapy limitation,Review speech therapy-specific coverage restrictions
PI,232,Service requires urology report,Complete required urology report first
OA,46,Invalid code transformation,Update code transformation to current standards
CR,50,Medicare ACO plan primary,Submit to Medicare ACO plan first
PR,125,Patient coverage under heart failure management,Contact heart failure management program
CO,74,Service exceeds chiropractic limitation,Review chiropractic-specific coverage restrictions
PI,233,Service requires gastroenterology report,Complete required gastroenterology report first
OA,47,Invalid code interpretation,Update code interpretation to current standards
CR,51,Medicare PCMH plan primary,Submit to Medicare PCMH plan first
PR,126,Patient coverage under kidney disease management,Contact kidney disease management program
CO,75,Service exceeds acupuncture limitation,Review acupuncture-specific coverage restrictions
PI,234,Service requires pulmonology report,Complete required pulmonology report first
OA,48,Invalid code processing,Update code processing to current standards
CR,52,Medicare CCM plan primary,Submit to Medicare CCM plan first
PR,127,Patient coverage under cancer management,Contact cancer management program
CO,76,Service exceeds massage therapy limitation,Review massage therapy-specific coverage restrictions
PI,235,Service requires endocrinology report,Complete required endocrinology report first
OA,49,Invalid code handling,Update code handling to current standards
CR,53,Medicare TCM plan primary,Submit to Medicare TCM plan first
PR,128,Patient coverage under mental health management,Contact mental health management program
CO,77,Service exceeds naturopathic limitation,Review naturopathic-specific coverage restrictions
PI,236,Service requires rheumatology report,Complete required rheumatology report first
OA,50,Invalid code management,Update code management to current standards
CR,54,Medicare BHI plan primary,Submit to Medicare BHI plan first
PR,129,Patient coverage under substance use management,Contact substance use management program
CO,78,Service exceeds homeopathic limitation,Review homeopathic-specific coverage restrictions
PI,237,Service requires nephrology report,Complete required nephrology report first
OA,51,Invalid code administration,Update code administration to current standards
CR,55,Medicare CCM plan primary,Submit to Medicare CCM plan first
PR,130,Patient coverage under pain management,Contact pain management program
CO,79,Service exceeds alternative medicine limitation,Review alternative medicine-specific coverage restrictions
PI,238,Service requires hepatology report,Complete required hepatology report first
OA,52,Invalid code governance,Update code governance to current standards
CR,56,Medicare TCM plan primary,Submit to Medicare TCM plan first
PR,131,Patient coverage under weight management,Contact weight management program
CO,80,Service exceeds complementary medicine limitation,Review complementary medicine-specific coverage restrictions
PI,239,Service requires infectious disease report,Complete required infectious disease report first
OA,53,Invalid code oversight,Update code oversight to current standards
CR,57,Medicare BHI plan primary,Submit to Medicare BHI plan first
PR,132,Patient coverage under nutrition management,Contact nutrition management program
CO,81,Service exceeds integrative medicine limitation,Review integrative medicine-specific coverage restrictions
PI,240,Service requires immunology report,Complete required immunology report first
OA,54,Invalid code supervision,Update code supervision to current standards
CR,58,Medicare CCM plan primary,Submit to Medicare CCM plan first
PR,133,Patient coverage under exercise management,Contact exercise management program
CO,82,Service exceeds functional medicine limitation,Review functional medicine-specific coverage restrictions
PI,241,Service requires allergy report,Complete required allergy report first
OA,55,Invalid code control,Update code control to current standards
CR,59,Medicare TCM plan primary,Submit to Medicare TCM plan first
PR,134,Patient coverage under sleep management,Contact sleep management program
CO,83,Service exceeds regenerative medicine limitation,Review regenerative medicine-specific coverage restrictions
PI,242,Service requires genetics report,Complete required genetics report first
OA,56,Invalid code regulation,Update code regulation to current standards
CR,60,Medicare BHI plan primary,Submit to Medicare BHI plan first
PR,135,Patient coverage under stress management,Contact stress management program
CO,84,Service exceeds precision medicine limitation,Review precision medicine-specific coverage restrictions
PI,243,Service requires genomics report,Complete required genomics report first
OA,57,Invalid code compliance,Update code compliance to current standards
CR,61,Medicare CCM plan primary,Submit to Medicare CCM plan first
PR,136,Patient coverage under mindfulness management,Contact mindfulness management program
CO,85,Service exceeds personalized medicine limitation,Review personalized medicine-specific coverage restrictions
PI,244,Service requires proteomics report,Complete required proteomics report first
OA,58,Invalid code adherence,Update code adherence to current standards
CR,62,Medicare TCM plan primary,Submit to Medicare TCM plan first
PR,137,Patient coverage under meditation management,Contact meditation management program
